XC,YC,theta,idx,thres_rho
1,1,-0.436748880546151,1,1
1,2,-0.635594791165932,1,1
1,3,-0.607788346501759,1,1
1,4,-0.569870626820097,0,0
1,5,-0.503896207527138,0,0
1,6,-0.399487702932884,0,0
1,7,-0.286467899415052,0,0
1,8,-0.193106327189981,0,0
1,9,-0.124269840690602,0,0
1,10,-0.0566955445871108,0,0
1,11,-0.0270385214001191,0,0
1,12,0.0336725265737316,0,0
1,13,0.0978589320265285,0,0
1,14,0.221691951364818,0,0
1,15,0.343312836537807,0,0
1,16,0.458185999386466,0,0
1,17,0.534825577074575,0,0
1,18,0.589490103947075,3,1
1,19,0.629086765367743,3,1
1,20,0.438467064256104,3,1
2,1,-0.65278365280537,1,1
2,2,-0.938848896620984,1,1
2,3,-0.879043085917363,1,1
2,4,-0.812428655569754,0,0
2,5,-0.724283166620799,0,0
2,6,-0.588271108737126,0,0
2,7,-0.428737526066145,0,0
2,8,-0.288289744599043,0,0
2,9,-0.182970245534908,0,0
2,10,-0.0826176592846882,0,0
2,11,-0.0390557020637534,0,0
2,12,0.0472012802666661,0,0
2,13,0.134995137820349,0,0
2,14,0.307770188908221,0,0
2,15,0.476348575605437,0,0
2,16,0.631878237311638,0,0
2,17,0.749867148973986,0,0
2,18,0.849781121885566,3,1
2,19,0.933882888749887,3,1
2,20,0.657028942178289,3,1
3,1,-0.649107963771239,1,1
3,2,-0.930005175940076,1,1
3,3,-0.842532323194247,1,1
3,4,-0.736012615140378,0,0
3,5,-0.641964236293449,0,0
3,6,-0.535972252407161,0,0
3,7,-0.408561072402064,0,0
3,8,-0.268789638119404,0,0
3,9,-0.15848342017326,0,0
3,10,-0.0669151658388625,0,0
3,11,-0.0314969650322344,0,0
3,12,0.0380290328219708,0,0
3,13,0.105925137142397,0,0
3,14,0.243274891786304,0,0
3,15,0.377883968679401,0,0
3,16,0.52140327398754,0,0
3,17,0.671662878966616,0,0
3,18,0.817363799899685,3,1
3,19,0.932207794289471,3,1
3,20,0.656257632899108,3,1
4,1,-0.645091886240538,1,1
4,2,-0.933853099886679,1,1
4,3,-0.844007766196866,1,1
4,4,-0.69303001560409,0,0
4,5,-0.472817171062739,0,0
4,6,-0.287631273586745,0,0
4,7,-0.182029494281775,0,0
4,8,-0.14952763104746,0,0
4,9,-0.122029003524536,0,0
4,10,-0.0459406794550333,0,0
4,11,-0.0182682509404166,0,0
4,12,0.0314481889272835,0,0
4,13,0.066978990010155,0,0
4,14,0.161287213963552,0,0
4,15,0.267032173630898,0,0
4,16,0.430533249319627,0,0
4,17,0.633429197679421,0,0
4,18,0.825784319657582,3,1
4,19,0.944533121563644,3,1
4,20,0.655703026606312,3,1
5,1,-0.639663395965976,1,1
5,2,-0.947753486616735,1,1
5,3,-0.884900700808724,1,1
5,4,-0.721672232225102,1,1
5,5,-0.442763429888044,0,0
5,6,-0.166281602340805,0,0
5,7,-0.0532706037723213,0,0
5,8,-0.0322824359336711,0,0
5,9,-0.0493190576367195,0,0
5,10,0.0218053718400636,0,0
5,11,0.0186977272878929,0,0
5,12,0.0309433528987262,0,0
5,13,0.0364636185399059,0,0
5,14,0.103954032760883,0,0
5,15,0.214083006215757,0,0
5,16,0.42233146589229,0,0
5,17,0.67582765319091,0,0
5,18,0.876294869509409,3,1
5,19,0.964243723706063,3,1
5,20,0.654557887213689,3,1
6,1,-0.629527605490044,1,1
6,2,-0.947534409367668,1,1
6,3,-0.928269448499224,1,1
6,4,-0.801949952219585,1,1
6,5,-0.493328310806894,0,0
6,6,-0.108246163702436,0,0
6,7,0.0897816556357302,0,0
6,8,0.0879237370314242,0,0
6,9,-0.00661484139746546,0,0
6,10,0.0304022285802898,0,0
6,11,0.0477547847334032,0,0
6,12,0.064668289528836,0,0
6,13,0.029647498216784,0,0
6,14,0.0332035414771497,0,0
6,15,0.175294975195592,0,0
6,16,0.44692484531185,0,0
6,17,0.757171649103396,3,1
6,18,0.924611718060355,3,1
6,19,0.971809118214722,3,1
6,20,0.651896796078937,3,1
7,1,-0.612722913587401,1,1
7,2,-0.93413385521461,1,1
7,3,-0.94625308328122,1,1
7,4,-0.87406581740496,1,1
7,5,-0.668732792703642,0,0
7,6,-0.279625209708016,0,0
7,7,0.00896315187380393,0,0
7,8,0.147893009590707,0,0
7,9,0.0963865760988491,0,0
7,10,0.107207868106075,0,0
7,11,0.10969713703544,0,0
7,12,0.106637796304898,0,0
7,13,0.0480095458673463,0,0
7,14,-0.00569090142836368,0,0
7,15,0.179505775931477,0,0
7,16,0.484239772183943,0,0
7,17,0.837152329550485,3,1
7,18,0.952137635908224,3,1
7,19,0.972264014027266,3,1
7,20,0.647710694236057,3,1
8,1,-0.589561592936244,0,0
8,2,-0.911242242331259,1,1
8,3,-0.948470634274132,1,1
8,4,-0.917965383582236,1,1
